gameID,homeTeamID,awayTeamID,homeScore,awayScore,date,startTime,overtime
PORLAL0,POR,LAL,128,119,Thu Oct 18 2018,10:30p,0
PORSAS0,POR,SAS,121,108,Sat Oct 20 2018,10:00p,0
PORWAS0,POR,WAS,124,125,Mon Oct 22 2018,10:00p,1
ORLPOR0,ORL,POR,114,128,Thu Oct 25 2018,7:00p,0
MIAPOR0,MIA,POR,120,111,Sat Oct 27 2018,8:00p,0
INDPOR0,IND,POR,93,103,Mon Oct 29 2018,7:00p,0
HOUPOR0,HOU,POR,85,104,Tue Oct 30 2018,8:00p,0
PORNOP0,POR,NOP,132,119,Thu Nov 1 2018,10:30p,0
PORLAL1,POR,LAL,110,114,Sat Nov 3 2018,10:00p,0
PORMIN0,POR,MIN,111,81,Sun Nov 4 2018,9:00p,0
PORMIL0,POR,MIL,118,103,Tue Nov 6 2018,10:00p,0
PORLAC0,POR,LAC,116,105,Thu Nov 8 2018,10:00p,0
PORBOS0,POR,BOS,100,94,Sun Nov 11 2018,9:00p,0
LALPOR0,LAL,POR,126,117,Wed Nov 14 2018,10:30p,0
MINPOR0,MIN,POR,112,96,Fri Nov 16 2018,8:00p,0
WASPOR0,WAS,POR,109,119,Sun Nov 18 2018,6:00p,0
NYKPOR0,NYK,POR,114,118,Tue Nov 20 2018,7:30p,0
MILPOR0,MIL,POR,143,100,Wed Nov 21 2018,8:00p,0
GSWPOR0,GSW,POR,125,97,Fri Nov 23 2018,10:30p,0
PORLAC1,POR,LAC,100,104,Sun Nov 25 2018,9:00p,0
PORORL0,POR,ORL,115,112,Wed Nov 28 2018,10:00p,0
PORDEN0,POR,DEN,112,113,Fri Nov 30 2018,10:30p,0
SASPOR0,SAS,POR,131,118,Sun Dec 2 2018,7:00p,0
DALPOR0,DAL,POR,111,102,Tue Dec 4 2018,8:30p,0
PORPHO0,POR,PHO,108,86,Thu Dec 6 2018,10:00p,0
PORMIN1,POR,MIN,113,105,Sat Dec 8 2018,10:00p,0
HOUPOR1,HOU,POR,111,104,Tue Dec 11 2018,8:00p,0
MEMPOR0,MEM,POR,92,83,Wed Dec 12 2018,8:00p,0
PORTOR0,POR,TOR,128,122,Fri Dec 14 2018,10:00p,0
LACPOR0,LAC,POR,127,131,Mon Dec 17 2018,10:30p,0
PORMEM0,POR,MEM,99,92,Wed Dec 19 2018,10:00p,0
PORUTA0,POR,UTA,90,120,Fri Dec 21 2018,10:00p,0
PORDAL0,POR,DAL,121,118,Sun Dec 23 2018,9:00p,1
UTAPOR0,UTA,POR,117,96,Tue Dec 25 2018,10:30p,0
GSWPOR1,GSW,POR,109,110,Thu Dec 27 2018,10:30p,1
PORGSW0,POR,GSW,105,115,Sat Dec 29 2018,10:00p,0
PORPHI0,POR,PHI,129,95,Sun Dec 30 2018,9:00p,0
SACPOR0,SAC,POR,108,113,Tue Jan 1 2019,9:00p,1
POROKC0,POR,OKC,109,111,Fri Jan 4 2019,10:30p,0
PORHOU0,POR,HOU,110,101,Sat Jan 5 2019,10:00p,0
PORNYK0,POR,NYK,111,101,Mon Jan 7 2019,10:00p,0
PORCHI0,POR,CHI,124,112,Wed Jan 9 2019,10:00p,0
PORCHO0,POR,CHO,127,96,Fri Jan 11 2019,10:00p,0
DENPOR0,DEN,POR,116,113,Sun Jan 13 2019,8:00p,0
SACPOR1,SAC,POR,115,107,Mon Jan 14 2019,10:00p,0
PORCLE0,POR,CLE,129,112,Wed Jan 16 2019,10:00p,0
PORNOP1,POR,NOP,128,112,Fri Jan 18 2019,10:30p,0
UTAPOR1,UTA,POR,104,109,Mon Jan 21 2019,9:00p,0
OKCPOR0,OKC,POR,123,114,Tue Jan 22 2019,8:00p,0
PHOPOR0,PHO,POR,106,120,Thu Jan 24 2019,9:00p,0
PORATL0,POR,ATL,120,111,Sat Jan 26 2019,10:00p,0
PORUTA1,POR,UTA,132,105,Wed Jan 30 2019,10:30p,0
PORMIA0,POR,MIA,108,118,Tue Feb 5 2019,10:30p,0
PORSAS1,POR,SAS,127,118,Thu Feb 7 2019,10:30p,0
DALPOR1,DAL,POR,102,101,Sun Feb 10 2019,3:00p,0
OKCPOR1,OKC,POR,120,111,Mon Feb 11 2019,8:00p,0
PORGSW1,POR,GSW,129,107,Wed Feb 13 2019,10:30p,0
BRKPOR0,BRK,POR,99,113,Thu Feb 21 2019,7:30p,0
PHIPOR0,PHI,POR,115,130,Sat Feb 23 2019,1:00p,0
CLEPOR0,CLE,POR,110,123,Mon Feb 25 2019,7:00p,0
BOSPOR0,BOS,POR,92,97,Wed Feb 27 2019,8:00p,0
TORPOR0,TOR,POR,119,117,Fri Mar 1 2019,8:00p,0
CHOPOR0,CHO,POR,108,118,Sun Mar 3 2019,1:00p,0
MEMPOR1,MEM,POR,120,111,Tue Mar 5 2019,8:00p,0
POROKC1,POR,OKC,121,129,Thu Mar 7 2019,10:30p,1
PORPHO1,POR,PHO,127,120,Sat Mar 9 2019,10:00p,0
LACPOR1,LAC,POR,104,125,Tue Mar 12 2019,10:30p,0
NOPPOR0,NOP,POR,110,122,Fri Mar 15 2019,8:00p,0
SASPOR1,SAS,POR,108,103,Sat Mar 16 2019,8:30p,0
PORIND0,POR,IND,106,98,Mon Mar 18 2019,10:30p,0
PORDAL1,POR,DAL,126,118,Wed Mar 20 2019,10:00p,0
PORDET0,POR,DET,117,112,Sat Mar 23 2019,10:00p,0
PORBRK0,POR,BRK,148,144,Mon Mar 25 2019,10:00p,1
CHIPOR0,CHI,POR,98,118,Wed Mar 27 2019,8:00p,0
ATLPOR0,ATL,POR,98,118,Fri Mar 29 2019,7:30p,0
DETPOR0,DET,POR,99,90,Sat Mar 30 2019,7:00p,0
MINPOR1,MIN,POR,122,132,Mon Apr 1 2019,8:00p,0
PORMEM1,POR,MEM,116,89,Wed Apr 3 2019,10:00p,0
DENPOR1,DEN,POR,119,110,Fri Apr 5 2019,10:30p,0
PORDEN1,POR,DEN,115,108,Sun Apr 7 2019,9:00p,0
LALPOR1,LAL,POR,101,104,Tue Apr 9 2019,10:30p,0
PORSAC0,POR,SAC,136,131,Wed Apr 10 2019,10:30p,0
