playerID,teamID,fname,lname,age,position
abrinal01,OKC,Alex,Abrines,25,SG
acyqu01,PHO,Quincy,Acy,28,PF
adamsja01,ATL,Jaylen,Adams,22,PG
adamsst01,OKC,Steven,Adams,25,C
adebaba01,MIA,Bam,Adebayo,21,C
adelde01,CLE,Deng,Adel,21,SF
akoonde01,DEN,DeVaughn,Akoon-Purcell,25,SG
aldrila01,SAS,LaMarcus,Aldridge,33,C
alkinra01,CHI,Rawle,Alkins,21,SG
allengr01,UTA,Grayson,Allen,23,SG
allenja01,BRK,Jarrett,Allen,20,C
allenka01,NYK,Kadeem,Allen,26,SG
aminual01,POR,Al-Farouq,Aminu,28,PF
anderju01,ATL,Justin,Anderson,25,SF
anderky01,MEM,Kyle,Anderson,25,SF
anderry01,TOT,Ryan,Anderson,30,PF
anigbik01,IND,Ike,Anigbogu,20,C
antetgi01,MIL,Giannis,Antetokounmpo,24,PF
antetko01,DAL,Kostas,Antetokounmpo,21,PF
anthoca01,HOU,Carmelo,Anthony,34,PF
anunoog01,TOR,OG,Anunoby,21,SF
arcidry01,CHI,Ryan,Arcidiacono,24,PG
arizatr01,TOT,Trevor,Ariza,33,SF
augusdj01,ORL,D.J.,Augustin,31,PG
aytonde01,PHO,Deandre,Ayton,20,C
bacondw01,CHO,Dwayne,Bacon,23,SG
baglema01,SAC,Marvin,Bagley,19,PF
bakerro01,TOT,Ron,Baker,25,SG
baldwwa01,POR,Wade,Baldwin,22,PG
balllo01,LAL,Lonzo,Ball,21,PG
bambamo01,ORL,Mo,Bamba,20,C
bareajo01,DAL,J.J.,Barea,34,PG
barneha02,TOT,Harrison,Barnes,26,PF-SF
bartowi01,DEN,Will,Barton,28,SG
bateske01,MIN,Keita,Bates-Diop,23,SF
batumni01,CHO,Nicolas,Batum,30,SF
bayleje01,MIN,Jerryd,Bayless,30,PG
baynear01,BOS,Aron,Baynes,32,C
bazemke01,ATL,Kent,Bazemore,29,SG
bealbr01,WAS,Bradley,Beal,25,SG
beaslma01,DEN,Malik,Beasley,22,SG
beaslmi01,LAL,Michael,Beasley,30,PF
belinma01,SAS,Marco,Belinelli,32,SG
belljo01,GSW,Jordan,Bell,24,C
bembrde01,ATL,DeAndre',Bembry,24,SG
bendedr01,PHO,Dragan,Bender,21,PF
bertada01,SAS,Davis,Bertans,26,PF
bertada02,NOP,Dairis,Bertans,29,SG
beverpa01,LAC,Patrick,Beverley,30,PG
birchkh01,ORL,Khem,Birch,26,C
biyombi01,CHO,Bismack,Biyombo,26,C
bjeline01,SAC,Nemanja,Bjelica,30,PF
blakean01,CHI,Antonio,Blakeney,22,SG
bledser01,MIL,Eric,Bledsoe,29,PG
blossja01,CLE,Jaron,Blossomgame,25,SF
bogdabo01,SAC,Bogdan,Bogdanovic,26,SG
bogdabo02,IND,Bojan,Bogdanovic,29,SF
bogutan01,GSW,Andrew,Bogut,34,C
boldejo01,PHI,Jonah,Bolden,23,PF
bongais01,LAL,Isaac,Bonga,19,PG
bookede01,PHO,Devin,Booker,22,SG
bouchch01,TOR,Chris,Boucher,26,PF
bradlav01,TOT,Avery,Bradley,28,SG
bradlto01,UTA,Tony,Bradley,21,C
breweco01,TOT,Corey,Brewer,32,SF
bridgmi01,PHO,Mikal,Bridges,22,SF
bridgmi02,CHO,Miles,Bridges,20,SF
briscis01,ORL,Isaiah,Briscoe,22,PG
broekry01,DAL,Ryan,Broekhoff,28,SG
brogdma01,MIL,Malcolm,Brogdon,26,SG
brookdi01,MEM,Dillon,Brooks,23,SF
brookma01,MEM,MarShon,Brooks,30,SG
brownbr01,DET,Bruce,Brown,22,SG
brownja02,BOS,Jaylen,Brown,22,SG
brownlo01,TOR,Lorenzo,Brown,28,PG
brownst02,MIL,Sterling,Brown,23,SG
browntr01,WAS,Troy,Brown,19,SF
brunsja01,DAL,Jalen,Brunson,22,PG
bryanth01,WAS,Thomas,Bryant,21,C
bullore01,TOT,Reggie,Bullock,27,SG
burketr01,TOT,Trey,Burke,26,PG
burksal01,TOT,Alec,Burks,27,SG
burtode02,OKC,Deonte,Burton,25,SG
butleji01,TOT,Jimmy,Butler,29,SF-SG
cabocbr01,MEM,Bruno,Caboclo,23,SF
caldejo01,DET,Jose,Calderon,37,PG
caldwke01,LAL,Kentavious,Caldwell-Pope,25,SG
canaais01,TOT,Isaiah,Canaan,27,PG
capelca01,HOU,Clint,Capela,24,C
carrode01,BRK,DeMarre,Carroll,32,PF
carteje01,MEM,Jevon,Carter,23,PG
cartemi01,TOT,Vince,Carter,27,PG
cartevi01,ATL,Wendell,Carter,42,PF
cartewe01,CHI,Michael,Carter-Williams,19,C
carusal01,LAL,Alex,Caruso,24,PG
casspom01,MEM,Omri,Casspi,30,SF
caulewi01,SAC,Willie,Cauley-Stein,25,C
caupatr01,ORL,Troy,Caupain,23,PG
cavanty01,UTA,Tyler,Cavanaugh,24,PF
chandty01,TOT,Tyson,Chandler,36,C
chandwi01,TOT,Wilson,Chandler,31,PF-SF
chealjo01,CHO,Joe,Chealey,23,PG
chiozch01,HOU,Chris,Chiozza,23,PG
chrisma01,TOT,Marquese,Chriss,21,PF
clarkga01,HOU,Gary,Clark,24,PF
clarkia01,NOP,Ian,Clark,27,SG
clarkjo01,CLE,Jordan,Clarkson,26,SG
collida01,IND,John,Collins,31,PG
collijo01,ATL,Zach,Collins,21,PF
colliza01,POR,Darren,Collison,21,C
colsobo01,MIL,Bonzie,Colson,23,SF
conlemi01,MEM,Mike,Conley,31,PG
connapa01,MIL,Pat,Connaughton,26,SG
cookqu01,GSW,Quinn,Cook,25,PG
couside01,GSW,DeMarcus,Cousins,28,C
covinro01,TOT,Robert,Covington,28,SF
crabbal01,BRK,Allen,Crabbe,26,SG
craigto01,DEN,Torrey,Craig,28,SF
crawfja01,PHO,Jamal,Crawford,38,SG
creekmi01,TOT,Mitch,Creek,26,SF
crowdja01,UTA,Jae,Crowder,28,SF
cunnida01,SAS,Dante,Cunningham,31,PF
curryse01,POR,Seth,Curry,28,SG
curryst01,GSW,Stephen,Curry,30,PG
danietr01,PHO,Troy,Daniels,27,SG
davisan02,NOP,Anthony,Davis,25,C
davisde01,ATL,Deyonta,Davis,22,C
davised01,BRK,Ed,Davis,29,C
davisty01,OKC,Tyler,Davis,21,C
