playerID,3p%,fg%,ppg,rebounds,games,blocks,minutes,assists,steals,turnovers,fouls
abrinal01,0.323,0.357,5.3,1.5,31,0.2,19,0.6,0.5,0.5,1.7
acyqu01,0.133,0.222,1.7,2.5,10,0.4,12.3,0.8,0.1,0.4,2.4
adamsja01,0.338,0.345,3.2,1.8,34,0.1,12.6,1.9,0.4,0.8,1.3
adamsst01,0,0.595,13.9,9.5,80,1,33.4,1.6,1.5,1.7,2.6
adebaba01,0.2,0.576,8.9,7.3,82,0.8,23.3,2.2,0.9,1.5,2.5
adelde01,0.261,0.306,1.7,1,19,0.2,10.2,0.3,0.1,0.3,0.7
akoonde01,0,0.3,1,0.6,7,0,3.1,0.9,0.3,0.3,0.6
aldrila01,0.238,0.519,21.3,9.2,81,1.3,33.2,2.4,0.5,1.8,2.2
alkinra01,0.25,0.333,3.7,2.6,10,0,12,1.3,0.1,0.8,0.7
allengr01,0.323,0.376,5.6,0.6,38,0.2,10.9,0.7,0.2,0.9,1.2
allenja01,0.133,0.59,10.9,8.4,80,1.5,26.2,1.4,0.5,1.3,2.3
allenka01,0.472,0.461,9.9,2.7,19,0.2,21.9,4,0.8,1.4,2.4
aminual01,0.343,0.433,9.4,7.5,81,0.4,28.3,1.3,0.8,0.9,1.8
anderju01,0.312,0.408,3.7,1.8,48,0.3,9.6,0.5,0.5,0.5,1
anderky01,0.265,0.543,8,5.8,43,0.9,29.8,3,1.3,1.3,2.6
anderry01,0.225,0.304,2.5,2.2,25,0,12.9,0.8,0.2,0.6,1
anigbik01,NULL,0,0,1,3,0.3,2,0.3,0,0.3,0
antetgi01,0.256,0.578,27.7,12.5,72,1.5,32.8,5.9,1.3,3.7,3.2
antetko01,NULL,0,1,0.5,2,0,5.5,0,1,0.5,0
anthoca01,0.328,0.405,13.4,5.4,10,0.7,29.4,0.5,0.4,0.8,3.2
anunoog01,0.332,0.453,7,2.9,67,0.3,20.2,0.7,0.7,0.8,2.1
arcidry01,0.373,0.447,6.7,2.7,81,0,24.2,3.3,0.8,0.8,2.1
arizatr01,0.334,0.399,12.5,5.4,69,0.3,34,3.7,1.3,1.5,1.9
augusdj01,0.421,0.47,11.7,2.5,81,0,28,5.3,0.6,1.6,1.4
aytonde01,0,0.585,16.3,10.3,71,0.9,30.7,1.8,0.9,1.8,2.9
bacondw01,0.437,0.475,7.3,2.1,43,0.1,17.7,1.1,0.3,0.4,1.7
baglema01,0.313,0.504,14.9,7.6,62,1,25.3,1,0.5,1.6,1.9
bakerro01,0.077,0.2,0.9,0.7,15,0.1,10.1,1,0.4,0.3,1.2
baldwwa01,0.222,0.303,1.9,0.9,16,0.1,5.9,0.8,0.1,0.9,0.7
balllo01,0.329,0.406,9.9,5.3,47,0.4,30.3,5.4,1.5,2.2,2.4
bambamo01,0.3,0.481,6.2,5,47,1.4,16.3,0.8,0.3,0.9,2.2
bareajo01,0.297,0.418,10.9,2.5,38,0,19.8,5.6,0.6,1.9,1.3
barneha02,0.395,0.42,16.4,4.7,77,0.2,32.9,1.5,0.6,1.3,1.6
bartowi01,0.342,0.402,11.5,4.6,43,0.5,27.7,2.9,0.4,1.5,1.9
bateske01,0.25,0.423,5,2.8,30,0.5,16.8,0.6,0.6,0.5,1
batumni01,0.389,0.45,9.3,5.2,75,0.6,31.4,3.3,0.9,1.6,1.9
bayleje01,0.296,0.357,6.1,1.8,34,0.1,19.3,3.5,0.5,0.9,1.6
baynear01,0.344,0.471,5.6,4.7,51,0.7,16.1,1.1,0.2,0.8,2.5
bazemke01,0.32,0.402,11.6,3.9,67,0.6,24.5,2.3,1.3,1.8,2.5
bealbr01,0.351,0.475,25.6,5,82,0.7,36.9,5.5,1.5,2.7,2.8
beaslma01,0.402,0.474,11.3,2.5,81,0.1,23.2,1.2,0.7,0.7,1.4
beaslmi01,0.176,0.49,7,2.3,26,0.4,10.7,1,0.3,1,1.6
belinma01,0.372,0.413,10.5,2.5,79,0.1,23,1.7,0.4,0.9,1.5
belljo01,0,0.516,3.3,2.7,68,0.8,11.6,1.1,0.3,0.6,1.2
bembrde01,0.289,0.446,8.4,4.4,82,0.5,23.5,2.5,1.3,1.7,2.3
bendedr01,0.218,0.447,5,4,46,0.5,18,1.2,0.4,0.8,2
bertada01,0.429,0.45,8,3.5,76,0.4,21.5,1.3,0.5,0.6,1.8
bertada02,0.294,0.255,2.8,0.8,12,0,13.9,0.8,0.1,0.2,0.6
beverpa01,0.397,0.407,7.6,5,78,0.6,27.4,3.8,0.9,1.1,3.4
birchkh01,0,0.603,4.8,3.8,50,0.6,12.9,0.8,0.4,0.4,1.4
biyombi01,NULL,0.571,4.4,4.6,54,0.8,14.5,0.6,0.2,0.6,1.9
bjeline01,0.401,0.479,9.6,5.8,77,0.7,23.2,1.9,0.7,1.1,2.6
blakean01,0.396,0.419,7.3,1.9,57,0.2,14.5,0.7,0.2,0.6,0.7
bledser01,0.329,0.484,15.9,4.6,78,0.4,29.1,5.5,1.5,2.1,2
blossja01,0.256,0.443,4.2,3.6,27,0.3,16.3,0.5,0.3,0.4,0.7
bogdabo01,0.36,0.418,14.1,3.5,70,0.2,27.8,3.8,1,1.7,2
bogdabo02,0.425,0.497,18,4.1,81,0,31.8,2,0.9,1.7,1.7
bogutan01,NULL,0.5,3.5,5,11,0.7,12.2,1,0.3,0.7,2
boldejo01,0.354,0.494,4.7,3.8,44,0.9,14.5,0.9,0.4,0.8,2.3
bongais01,0,0.152,0.9,1.1,22,0.2,5.5,0.7,0.4,0.3,0.4
bookede01,0.326,0.467,26.6,4.1,64,0.2,35,6.8,0.9,4.1,3.1
bouchch01,0.324,0.447,3.3,2,28,0.9,5.8,0.1,0.2,0.3,1.1
bradlav01,0.351,0.408,9.9,2.8,63,0.3,30.2,2.4,0.7,1.4,2.7
bradlto01,NULL,0.5,5.7,5,3,0.7,12,0.3,0.7,1,2
breweco01,0.318,0.431,4.9,2.5,31,0.2,15.9,1.3,1,0.6,2
bridgmi01,0.335,0.43,8.3,3.2,82,0.5,29.5,2.1,1.6,0.9,2.5
bridgmi02,0.325,0.464,7.5,4,80,0.6,21.2,1.2,0.7,0.6,1.4
briscis01,0.324,0.399,3.5,1.9,39,0.1,14.3,2.2,0.3,0.8,1.7
broekry01,0.409,0.452,4,1.5,42,0.1,10.8,0.5,0.1,0.4,0.8
